sido,city,gu,dong,apt,supply_year,supply_month,households,pyeong_info,brand
충청남도,아산시,아산시 전체,온천동,아산경남아너스빌 랜드마크49,2030,2030-12,467,일반/국평형,(주)남선알미늄
전남광주통합특별시,북구,북구 전체,임동,올 뉴 챔피언스시티 1차,2030,2030-11,3216,일반/국평형,(주) 챔피언스시티복합개발피에프브이
경상북도,경산시,경산시 전체,중산동,펜타힐즈 더블유 1단지,2030,2030-11,1712,일반/국평형,아이에스동서(주)
경기도,광주시,광주시 전체,양벌동,경기광주역 롯데캐슬 시그니처 1단지,2030,2030-10,1077,일반/국평형,신한자산신탁 주식회사
인천광역시,인천광역시,남동구,구월동,힐스테이트 구월아트파크,2030,2030-10,496,일반/국평형,주식회사 하나자산신탁
서울특별시,서울특별시,성북구,장위동,장위 푸르지오 마크원,2030,2030-09,1032,일반/국평형,장위10구역주택재개발정비사업조합
경기도,용인시,처인구,양지읍,용인 양지 서희스타힐스 하이뷰,2030,2030-09,547,일반/국평형,양지지구 2블럭 지역주택조합
경기도,남양주시,남양주시 전체,오남읍,오남역 서희스타힐스 여의재 1단지,2030,2030-08,180,일반/국평형,양지7지구 1단지 지역주택조합
부산광역시,부산광역시,남구,대연동,두산위브더제니스 대연,2030,2030-08,176,일반/국평형,동성하이타운 가로주택정비사업조합
경기도,양주시,양주시 전체,옥정동,"옥정중앙역 대방 디에트르(중상1, 복합1BL)",2030,2030-06,2807,일반/국평형,대방건설주식회사
서울특별시,서울특별시,동작구,흑석동,써밋 더힐,2030,2030-06,432,일반/국평형,흑석11재정비촉진구역재개발정비사업조합
부산광역시,부산광역시,해운대구,재송동,르엘 리버파크 센텀,2030,2030-05,2070,일반/국평형,주식회사 하나자산신탁
경기도,남양주시,남양주시 전체,일패동,남양주왕숙2 A-3블록 공공분양주택(본청약),2030,2030-05,686,일반/국평형,한국토지주택공사 경기북부지역본부
경기도,성남시,수정구,신흥동,성남복정2 A1블록 신혼희망타운(공공분양)(본청약),2030,2030-05,594,일반/국평형,한국토지주택공사 서울지역본부
서울특별시,서울특별시,중구,중림동,충정로역자이르네,2030,2030-05,186,일반/국평형,(주)이노디앤씨
인천광역시,인천광역시,미추홀구,학익동,시티오씨엘 9단지 오션파크뷰,2030,2030-04,1949,일반/국평형,코리아신탁(주)
경상남도,창원시,성산구,중앙동,창원자이 더 스카이,2030,2030-04,509,일반/국평형,창원중앙피에프브이(주)
경기도,고양시,덕양구,도내동,고양창릉 S-4블록 공공분양주택(본청약),2030,2030-03,1024,일반/국평형,한국토지주택공사 경기북부지역본부
부산광역시,부산광역시,동래구,안락동,동래 푸르지오 에듀포레,2030,2030-03,474,일반/국평형,안락1구역주택재건축정비사업조합
충청북도,청주시,상당구,지북동,청주 한양립스 더 벨루체,2030,2030-03,417,일반/국평형,동남지역주택조합
경상남도,진주시,진주시 전체,평거동,힐스테이트 평거 센트럴,2030,2030-03,261,일반/국평형,신한자산신탁 주식회사
서울특별시,서울특별시,중랑구,망우동,상봉 센트럴 아이파크,2030,2030-03,242,일반/국평형,(주)아주
경기도,고양시,덕양구,도내동,고양창릉지구 S-3블록 이익공유형 분양주택(본청약),2030,2030-02,1282,일반/국평형,한국토지주택공사 경기북부지역본부
부산광역시,부산광역시,사상구,엄궁동,엄궁역 트라비스 하늘채,2030,2030-02,1061,일반/국평형,엄궁1구역주택재개발정비사업조합
경기도,수원시,영통구,영통동,망포역 푸르지오 르마크,2030,2030-02,615,일반/국평형,"망포역세권개발피에프브이㈜,㈜대우건설"
서울특별시,서울특별시,동작구,상도동,동작 센트럴 동문 디 이스트,2030,2030-02,72,일반/국평형,장승배기역지역주택조합
충청남도,천안시,서북구,성정동,두정역 푸르지오 그랑피크,2030,2030-01,1438,일반/국평형,주식회사 케이티앤지
김포,풍무역세권,풍무역세권 전체,C5블록,호반써밋 풍무Ⅱ,2030,2030-01,961,일반/국평형,(주)호반건설
경기도,의왕시,의왕시 전체,고천동,의왕시청역 SK VIEW IPARK,2030,2030-01,958,일반/국평형,고천나구역주택재개발정비사업조합
부산광역시,부산광역시,동래구,온천동,동래 에코팰리스 아시아드 리안,2030,2030-01,291,일반/국평형,신영부동산신탁 주식회사
서울특별시,서울특별시,영등포구,신길동,써밋 클라비온,2030,2030-01,176,일반/국평형,(주)한국토지신탁
대전광역시,대전광역시,중구,대흥동,대전 경남아너스빌 센텀스카이,2030,2030-01,142,일반/국평형,탑스텐빌라드애월제주(주)
인천광역시,인천광역시,연수구,송도동,더샵 송도그란테르 G5-6블록,2030,2030-01,100,일반/국평형,케이비부동산신탁(주)
인천광역시,인천광역시,연수구,송도동,더샵 송도그란테르 G5-5블록,2030,2030-01,97,일반/국평형,케이비부동산신탁(주)
인천광역시,인천광역시,연수구,송도동,더샵 송도그란테르 G5-4블록,2030,2030-01,91,일반/국평형,케이비부동산신탁(주)
인천광역시,인천광역시,연수구,송도동,더샵 송도그란테르 G5-3블록,2030,2030-01,85,일반/국평형,케이비부동산신탁(주)
서울특별시,서울특별시,서대문구,홍은동,쌍용 더 플래티넘 서대문,2030,2030-01,62,일반/국평형,홍은동355번지일대 가로주택정비사업조합
경기도,구리시,구리시 전체,수택동,구리역 하이니티 리버파크,2029,2029-12,1530,일반/국평형,수택E구역주택재개발정비사업조합
인천광역시,인천광역시,서구,검단신도시,더샵 검단레이크파크(AB22BL),2029,2029-12,1454,일반/국평형,한국자산신탁(주)
인천광역시,인천광역시,서구,검단신도시,더샵 검단레이크파크(AB23BL),2029,2029-12,1403,일반/국평형,한국자산신탁(주)
대전광역시,대전광역시,유성구,도안,도안자이 센텀리체 2단지,2029,2029-12,834,일반/국평형,교보자산신탁(주)
경기도,의왕시,의왕시 전체,삼동,의왕역 SK VIEW,2029,2029-12,820,일반/국평형,부곡가구역주택재개발정비사업조합
경기도,김포시,김포시 전체,북변동,김포북변 칸타빌 디 에디션,2029,2029-12,612,일반/국평형,신영부동산신탁(주)
경기도,의정부시,의정부시 전체,의정부동,의정부역 센트럴 아이파크,2029,2029-12,400,일반/국평형,에이치디씨현대산업개발(주)
경기도,군포시,군포시 전체,대야미동,군포대야미지구 A-1블록 6년 분양전환공공임대주택(본청약),2029,2029-12,377,일반/국평형,한국토지주택공사 경기남부지역본부
부산광역시,부산광역시,남구,문현동,더샵 트리센트,2029,2029-12,156,일반/국평형,문현마루지역주택조합
울산광역시,울산광역시,남구,야음동,그랑라크 에일린의 뜰,2029,2029-11,1153,일반/국평형,남구비14구역주택재개발정비사업조합
경상남도,거제시,거제시 전체,장평동,거제 푸르지오 마린피스,2029,2029-11,423,일반/국평형,한국투자부동산신탁 주식회사
경기도,시흥시,시흥시 전체,거모동,시흥거모 A-5블록 신혼희망타운(공공분양)(본청약),2029,2029-11,290,일반/국평형,한국토지주택공사 경기남부지역본부
서울특별시,서울특별시,동작구,노량진동,드파인 아르티아,2029,2029-11,171,일반/국평형,노량진2재정비촉진구역재개발정비사업조합
부산광역시,부산광역시,동래구,온천동,온천장 하늘채 엘리시움,2029,2029-11,129,일반/국평형,온천장지역주택조합
경기도,오산시,오산시 전체,내삼미동,북오산자이 드포레,2029,2029-10,1517,일반/국평형,한국투자부동산신탁 주식회사
대전광역시,대전광역시,유성구,도안,도안자이 센텀리체 1단지,2029,2029-10,946,일반/국평형,교보자산신탁(주)
인천광역시,인천광역시,중구,중산동,"인천영종국제도시 디에트르 라 메르Ⅰ(RC4-1,2BL)(본청약)",2029,2029-10,903,일반/국평형,"디비종합건설주식회사,디비주택주식회사"
경기도,부천시,원미구,소사동,e편한세상 부천 어반스퀘어,2029,2029-10,897,일반/국평형,소사3구역 재개발정비사업조합
경기도,광주시,광주시 전체,역동,해링턴 스퀘어 리버파크,2029,2029-10,817,일반/국평형,경안리버시티개발 주식회사
경기도,양주시,양주시 전체,덕정동,양주회천지구 A-26블록 공공분양주택,2029,2029-10,792,일반/국평형,한국토지주택공사 경기북부지역본부
경기도,수원시,권선구,서둔동,화서역 호수공원 아너스빌,2029,2029-10,476,일반/국평형,삼환기업(주)
경기도,화성시,효행구,비봉면,야목역 서희스타힐스 그랜드힐,2029,2029-10,241,일반/국평형,비봉지역주택조합
경기도,화성시,효행구,비봉면,야목역 서희스타힐스 그랜드힐(조합원 취소분),2029,2029-10,83,일반/국평형,비봉지역주택조합
충청남도,천안시,서북구,업성동,업성 푸르지오 레이크시티,2029,2029-09,1460,일반/국평형,교보자산신탁(주)
경기도,오산시,오산시 전체,양산동,오산헤리티지자이 1단지,2029,2029-09,1069,일반/국평형,주식회사 하나자산신탁
충청남도,천안시,서북구,백석동,백석시그니처자이 1단지,2029,2029-09,854,일반/국평형,주식회사 하나자산신탁
인천광역시,인천광역시,남동구,간석1동,포레나더샵 인천시청역,2029,2029-09,735,일반/국평형,상인천초교주변주택재개발정비사업조합
경기도,오산시,오산시 전체,양산동,오산헤리티지자이 2단지,2029,2029-09,714,일반/국평형,주식회사 하나자산신탁
경기도,안양시,만안구,안양동,안양자이 헤리티온,2029,2029-09,639,일반/국평형,상록지구주택재개발정비사업조합
경기도,이천시,이천시 전체,갈산동,이천 휴먼빌 클래스원,2029,2029-09,536,일반/국평형,일신건영(주)
충청남도,천안시,서북구,업성동,업성 푸르지오 레이크시티 2단지,2029,2029-09,448,일반/국평형,교보자산신탁(주)
경상남도,진주시,진주시 전체,이현동,포레나힐스테이트 진주,2029,2029-09,398,일반/국평형,이현1-5구역재건축정비사업조합
충청남도,천안시,서북구,백석동,백석시그니처자이 2단지,2029,2029-09,320,일반/국평형,주식회사 하나자산신탁
강원특별자치도,강릉시,강릉시 전체,교동,리쉐스302,2029,2029-09,302,일반/국평형,주식회사파이오니아강릉
경상남도,거제시,거제시 전체,상동동,센트레빌 아스테리움 거제,2029,2029-08,1307,일반/국평형,(주)한국토지신탁
경상남도,창원시,마산회원구,회원동,창원 한신더휴 메가센텀,2029,2029-08,1139,일반/국평형,회원2구역주택재개발정비사업조합
경기도,군포시,군포시 전체,대야미동,군포대야미 A2블록 신혼희망타운(공공분양)(본청약),2029,2029-08,1003,일반/국평형,한국토지주택공사 경기남부지역본부
인천광역시,인천광역시,연수구,송도동,더샵 송도그란테르 G5-1블록,2029,2029-08,853,일반/국평형,케이비부동산신탁(주)
서울특별시,서울특별시,중랑구,상봉동,더샵 퍼스트월드,2029,2029-08,800,일반/국평형,우리자산신탁 주식회사
경기도,여주시,여주시 전체,홍문동,더샵 여주역더퍼스트,2029,2029-08,696,일반/국평형,한국투자부동산신탁 주식회사
광주연구개발특구,첨단3지구,첨단3지구 전체,A6블록(전남광주통합특별시,제일풍경채 첨단3지구(A6BL),2029,2029-08,638,일반/국평형,첨단678피에프브이 주식회사
경상남도,김해시,김해시 전체,내동,트리븐 김해,2029,2029-08,398,일반/국평형,한국투자부동산신탁 주식회사
인천광역시,인천광역시,연수구,송도동,더샵 송도그란테르 G5-11블록,2029,2029-08,318,일반/국평형,케이비부동산신탁(주)
울산광역시,울산광역시,중구,우정동,더폴 우정,2029,2029-08,316,일반/국평형,(주)우성종합건설
서울특별시,서울특별시,동작구,대방동,아크로 리버스카이,2029,2029-08,285,일반/국평형,노량진8재정비촉진구역주택재개발정비사업조합
전라남도,여수시,여수시 전체,학동,효성해링턴 플레이스 여수,2029,2029-08,278,일반/국평형,(주)한국토지신탁
울산광역시,울산광역시,남구,신정동,문수로 라티에르 673,2029,2029-08,199,일반/국평형,(주)한국토지신탁
경기도,오산시,오산시 전체,서동,오산 세교 우미 린 레이크시티,2029,2029-07,1424,일반/국평형,우미건설(주)
인천광역시,인천광역시,미추홀구,학익동,시티오씨엘 8단지,2029,2029-07,1349,일반/국평형,코리아신탁(주)
부산광역시,부산광역시,수영구,남천동,써밋 리미티드 남천,2029,2029-07,835,일반/국평형,큐브광안피에프브이주식회사
대전광역시,대전광역시,중구,선화동,대전 하늘채 루시에르(1회차),2029,2029-07,657,일반/국평형,케이비부동산신탁(주)
서울특별시,서울특별시,영등포구,신길동,더샵 신길센트럴시티,2029,2029-07,477,일반/국평형,신길5동지역주택조합
인천광역시,인천광역시,서해구,인천검암역세권,검암역 푸르지오 프라베뉴 (B-1BL) 공공분양주택,2029,2029-07,441,일반/국평형,"인천도시공사,(주)대우건설,동부건설(주),(주)비에스한양,경화건설(주),브니엘네이처(주)"
부산광역시,부산광역시,부산진구,부전동,쌍용 더 플래티넘 서면,2029,2029-07,432,일반/국평형,주식회사 하나자산신탁
부산광역시,부산광역시,수영구,민락동,알티에로 광안,2029,2029-07,366,일반/국평형,(주)하이아트이앤씨
대전광역시,대전광역시,중구,선화동,대전 하늘채 루시에르(2회차),2029,2029-07,341,일반/국평형,케이비부동산신탁(주)
서울특별시,서울특별시,영등포구,신길동,더샵 신길센트럴시티(조합원 취소분),2029,2029-07,67,일반/국평형,신길5동지역주택조합
충청남도,아산시,아산시 전체,탕정면,아산탕정자이 메트로시티(A3BL),2029,2029-06,1638,일반/국평형,교보자산신탁(주)
경기도,하남시,하남시 전체,천현동,교산 푸르지오 더 퍼스트(본청약),2029,2029-06,1115,일반/국평형,"한국토지주택공사,(주)대우건설,계룡건설산업(주),동부건설(주),흥한주택종합건설(주),(주)파레나"
전라남도,여수시,여수시 전체,소호동,소제지구 A3BL 중흥S-클래스 우미린,2029,2029-06,1095,일반/국평형,여수소제피에프브이 주식회사
부산광역시,부산광역시,강서구,강동동,에코델타시티 엘가 로제비앙,2029,2029-06,998,일반/국평형,(주)부산에코5피에프브이
경기도,부천시,부천시 전체,부천역곡,역곡지구 하우스토리(부천역곡지구 A-2BL) 신혼희망타운(공공분양)(본청약),2029,2029-06,976,일반/국평형,한국토지주택공사인천지역본부
대전광역시,대전광역시,서구,관저동,더샵 관저아르테,2029,2029-06,951,일반/국평형,주식회사 하나자산신탁
경기도,평택시,평택시 전체,고덕동,힐스테이트 고덕엘리스트 A12BL 공공분양주택,2029,2029-06,942,일반/국평형,한국토지주택공사 경기남부지역본부
